2023-02-10T03:24:28.096291-0300 | INFO | Connected in alpha_store with app testing status: False | models.py:45
2023-02-10T03:24:28.097293-0300 | INFO | Auth models configured | models.py:51
2023-02-10T03:24:28.098297-0300 | INFO | Auth configured | views.py:9
2023-02-10T03:24:28.099293-0300 | INFO | App started | main.py:23
2023-02-10T03:24:56.859126-0300 | INFO | Connected in alpha_store with app testing status: False | models.py:45
2023-02-10T03:24:56.860125-0300 | INFO | Auth models configured | models.py:51
2023-02-10T03:24:56.862124-0300 | INFO | Auth configured | views.py:9
2023-02-10T03:24:56.862124-0300 | INFO | App started | main.py:24
2023-02-10T03:25:55.432477-0300 | INFO | Connected in alpha_store with app testing status: False | models.py:45
2023-02-10T03:25:55.432477-0300 | INFO | Auth models configured | models.py:51
2023-02-10T03:25:55.433478-0300 | INFO | Auth configured | views.py:9
2023-02-10T03:25:55.433478-0300 | INFO | App started | main.py:24
2023-02-10T03:26:14.976962-0300 | INFO | Connected in alpha_store with app testing status: False | models.py:45
2023-02-10T03:26:14.976962-0300 | INFO | Auth models configured | models.py:51
2023-02-10T03:26:14.978963-0300 | INFO | Auth configured | views.py:9
2023-02-10T03:26:14.979964-0300 | INFO | App started | main.py:24
2023-02-10T03:27:43.325957-0300 | INFO | Connected in alpha_store with app testing status: False | models.py:45
2023-02-10T03:27:43.326958-0300 | INFO | Auth models configured | models.py:51
2023-02-10T03:27:43.327955-0300 | INFO | Auth configured | views.py:9
2023-02-10T03:27:43.327955-0300 | INFO | App started | main.py:27
2023-02-10T03:28:08.357010-0300 | INFO | Connected in alpha_store with app testing status: False | models.py:45
2023-02-10T03:28:08.358010-0300 | INFO | Auth models configured | models.py:51
2023-02-10T03:28:08.360012-0300 | INFO | Auth configured | views.py:9
2023-02-10T03:28:08.360012-0300 | INFO | App started | main.py:27
2023-02-10T03:28:14.443440-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:45
2023-02-10T03:28:14.443440-0300 | INFO | Auth models configured | models.py:51
2023-02-10T03:28:14.445410-0300 | INFO | Auth configured | views.py:9
2023-02-10T03:28:14.445410-0300 | INFO | App started | main.py:27
2023-02-10T03:30:07.359815-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:45
2023-02-10T03:30:28.597250-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:45
2023-02-10T03:31:07.159922-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:45
2023-02-10T03:31:07.160923-0300 | DEBUG | Database URI: <SQLAlchemy> | models.py:46
2023-02-10T03:31:07.160923-0300 | INFO | Auth models configured | models.py:52
2023-02-10T03:31:07.161922-0300 | INFO | Auth configured | views.py:9
2023-02-10T03:31:07.162927-0300 | INFO | App started | main.py:27
